	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_001019837	178.0	635.0	11.0	14.0	0.014300324276075485			0.022056432358014733
NP_001020262	142.0	487.0	7.0	16.0	0.44644437143062177			0.47795809176690096
NP_001020272	91.0	325.0	9.0	8.0	0.0061472185863828506			0.010827036606983987
NP_001025055	180.0	647.0	42.0	8.0	3.01203455158821e-19			1.3704757209726354e-17
NP_001026855	107.0	388.0	9.0	5.0	0.000891309253542791			0.001937909135564161
NP_001027454	270.0	982.0	17.0	36.0	0.08865632241828676			0.11806427326923068
NP_001030128	338.0	1173.0	27.0	38.0	0.0007860475629135697			0.0017734792121934257
NP_001035784	162.0	544.0	11.0	4.0	6.331264038422841e-05			0.0002082451906613778
NP_001041648	269.0	918.0	9.0	21.0	0.3776100300671			0.41070732353911665
NP_001073960	82.0	363.0	26.0	3.0	3.0741751050001987e-15			7.025860140705227e-14
NP_001078927	597.0	2039.0	46.0	64.0	1.48419878382395e-05			5.788375256913405e-05
NP_001087194	56.0	203.0	8.0	0.0	7.681297136281891e-06			3.328562092388819e-05
NP_001092879	112.0	422.0	7.0	2.0	0.0005071406280877954			0.0012586308315269833
NP_001092885	187.0	633.0	10.0	10.0	0.012431351690122326			0.01996328830237291
NP_001099032	140.0	509.0	12.0	12.0	0.002485102245836088			0.0047442861056870775
NP_001104026	750.0	2568.0	43.0	74.0	0.0007242694582678231			0.0016756403568399638
NP_001104488	145.0	617.0	23.0	28.0	4.612826859892398e-05			0.00015940528262666136
NP_001106189	493.0	1671.0	14.0	40.0	0.6223828993289221			0.6535020442953682
NP_001106963	231.0	776.0	13.0	23.0	0.07291893847421763			0.10024395183417796
NP_001123539	70.0	274.0	9.0	2.0	3.3988086450141215e-05			0.00012371663467851401
NP_001123617	262.0	889.0	13.0	15.0	0.006077425815995929			0.010773618491992782
NP_001123910	221.0	716.0	9.0	24.0	0.6768861513309155			0.699961815580833
NP_001127910	388.0	1326.0	15.0	32.0	0.15763677301738604			0.189580788694918
NP_001128342	189.0	702.0	18.0	10.0	1.7558547015089263e-06			9.782619051264017e-06
NP_001129069	185.0	707.0	30.0	8.0	1.313418800977457e-13			2.5611666619060413e-12
NP_001137532	197.0	627.0	26.0	7.0	1.403169934621437e-10			1.6655017050071838e-09
NP_001138241	112.0	369.0	9.0	13.0	0.07307159858974877			0.10024395183417796
NP_001138678	390.0	1344.0	16.0	44.0	0.43503036067729367			0.46760984166753844
NP_001139143	344.0	1279.0	46.0	22.0	1.4638163807598747e-15			4.4402430216382864e-14
NP_001139488	115.0	389.0	10.0	6.0	0.0009841276918256994			0.00209112915814731
NP_001155856	328.0	1179.0	42.0	31.0	1.3389466011026593e-10			1.6615110095501181e-09
NP_001159477	141.0	506.0	12.0	13.0	0.0055074521154467315			0.00995718163918515
NP_001159633	137.0	458.0	13.0	7.0	0.00010579561600360725			0.0003139369909672259
NP_001177666	184.0	756.0	33.0	4.0	1.0356709799666294e-18			3.5342272191361224e-17
NP_001184033	177.0	664.0	10.0	10.0	0.004427927687004298			0.008223294275865125
NP_001186064	155.0	574.0	9.0	6.0	0.001467062093938898			0.0029063652695095056
NP_001186346	145.0	514.0	7.0	19.0	0.6295368595606967			0.6584810829887747
NP_001189472	141.0	509.0	11.0	14.0	0.013826954750841112			0.021652743243356653
NP_001191315	125.0	473.0	17.0	21.0	0.0018982923835098174			0.0036495339485787337
NP_001191332	254.0	985.0	18.0	32.0	0.012626188138953285			0.020040403267059574
NP_001193937	452.0	1708.0	38.0	50.0	4.445788636557871e-06			2.167321960321962e-05
NP_001193946	138.0	455.0	14.0	7.0	4.3503354210073565e-05			0.00015226173973525748
NP_001193980	204.0	778.0	20.0	17.0	1.3919358027389438e-05			5.507224263010603e-05
NP_001230685	258.0	906.0	17.0	18.0	0.0007455175633531392			0.001710304998280731
NP_001243111	191.0	676.0	17.0	7.0	7.412826645920875e-07			4.399351465948693e-06
NP_001243399	223.0	809.0	17.0	19.0	0.0008310865615601003			0.0018412215114447469
NP_001243806	94.0	317.0	11.0	2.0	6.95342793453118e-06			3.163809710211687e-05
NP_001248357	62.0	259.0	15.0	3.0	3.169681786937191e-08			2.5450680230407447e-07
