	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_004136	381.0	856.0	18.0	40.0	1.0			1.0
NP_004229	235.0	538.0	22.0	25.0	0.023079373449577948			0.11441268753058871
NP_004277	127.0	294.0	8.0	11.0	0.3103151235459969			0.4895400298844439
NP_004386	236.0	553.0	13.0	20.0	0.25019149700544047			0.4368938520569703
NP_004437	244.0	564.0	13.0	26.0	0.721939710506033			0.8177421365447483
NP_004450	281.0	605.0	15.0	24.0	0.38388251227815456			0.5412856662801118
NP_004517	110.0	287.0	10.0	7.0	0.011074462064335296			0.0735221231493371
NP_004545	280.0	609.0	13.0	16.0	0.15584466445426687			0.3394858243724743
NP_004563	438.0	968.0	28.0	28.0	0.00496135853607846			0.047430587604910084
NP_004575	139.0	332.0	8.0	4.0	0.009591673589256477			0.06884459947693337
NP_004630	151.0	333.0	11.0	19.0	0.5467370437065399			0.6805737158638699
NP_004681	147.0	318.0	10.0	18.0	0.6782494188678025			0.7847623557073862
NP_004710	337.0	779.0	27.0	34.0	0.023247597145328813			0.11441268753058871
NP_004726	350.0	772.0	23.0	33.0	0.14058426257193524			0.31847998819613765
NP_004732	195.0	445.0	11.0	20.0	0.5538571682505069			0.6840923163404193
NP_004738	476.0	1104.0	18.0	39.0	0.8832983023968299			0.9321995413804113
NP_004765	441.0	951.0	16.0	32.0	0.8748038560867936			0.9271757055642734
NP_004808	718.0	1611.0	32.0	44.0	0.043658967602730046			0.17932048539528686
