	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_036439	495.0	264.0	21.0	4.0	0.05512877957980353		0.19545658214657616	
NP_036565	1552.0	819.0	57.0	27.0	0.7264030199314766		0.86723625848962	
NP_054706	1045.0	539.0	37.0	11.0	0.12222481653545234		0.28600607069295847	
NP_055144	740.0	345.0	29.0	13.0	1.0		1.0	
NP_055160	1604.0	846.0	48.0	24.0	0.9002787934029941		0.9575692620740938	
NP_055456	1367.0	738.0	69.0	25.0	0.09736045538986599		0.2690892014653498	
NP_055554	1633.0	872.0	55.0	17.0	0.05853779712607013		0.19568349325000586	
NP_055596	646.0	352.0	28.0	8.0	0.1128308862459997		0.26941252430167273	
NP_055599	1264.0	655.0	46.0	18.0	0.3499753804858658		0.5459615935579506	
NP_055601	1239.0	645.0	40.0	19.0	0.7824949858347297		0.8719229842158416	
NP_055617	662.0	339.0	35.0	12.0	0.2707054283038711		0.43989632099379056	
NP_055627	1775.0	924.0	72.0	32.0	0.5274207567904021		0.7346217683866315	
NP_055726	623.0	322.0	24.0	5.0	0.0715562059876017		0.23255766945970555	
NP_055750	1019.0	549.0	63.0	31.0	0.7390167319168999		0.8680049233856098	
NP_055816	1404.0	772.0	38.0	19.0	0.7808898604973034		0.8719229842158416	
NP_055927	1086.0	561.0	42.0	18.0	0.580047894926824		0.7625348731060495	
NP_055987	929.0	501.0	30.0	14.0	0.7493033954012529		0.8680049233856098	
NP_056193	868.0	460.0	57.0	21.0	0.178039802814528		0.33727405046670195	
NP_056272	829.0	423.0	48.0	16.0	0.17408651767158		0.33727405046670195	
NP_056285	1049.0	549.0	33.0	16.0	0.8793452378961599		0.9526240077208399	
NP_056364	967.0	486.0	32.0	12.0	0.42248265894335124		0.6277860030558257	
NP_056371	1664.0	836.0	48.0	23.0	0.8991581377816897		0.9575692620740938	
NP_057417	7386.0	3912.0	172.0	77.0	0.25201470421827427		0.42122457705054417	
NP_060130	405.0	198.0	25.0	9.0	0.5728129342931234		0.7619747046745583	
NP_060395	1499.0	730.0	52.0	22.0	0.6170184384828041		0.7756507886705108	
NP_061936	711.0	393.0	45.0	10.0	0.008484409214232371		0.05514865989251041	
NP_062565	911.0	491.0	52.0	10.0	0.0015551473218209765		0.012996588332361017	
NP_062817	856.0	450.0	38.0	11.0	0.09163211373946131		0.2690892014653498	
NP_064504	905.0	490.0	48.0	17.0	0.14502044589988078		0.3084980394597464	
NP_065805	1015.0	510.0	41.0	14.0	0.24535843232928825		0.41604255916705396	
NP_065875	1016.0	534.0	56.0	11.0	0.0021405819708546375		0.015653005661874535	
NP_071934	608.0	321.0	43.0	12.0	0.05682171331975895		0.19553354289446462	
NP_072174	3384.0	1709.0	178.0	72.0	0.13055736303675708		0.2958319011813853	
NP_073746	382.0	196.0	26.0	7.0	0.18247671446187005		0.33727405046670195	
NP_075385	679.0	367.0	37.0	18.0	0.7733932694737147		0.8719229842158416	
NP_112533	587.0	310.0	41.0	12.0	0.09938230750526628		0.2690892014653498	
NP_150241	996.0	516.0	45.0	10.0	0.013214789271329012		0.08067573345155539	
NP_203754	3737.0	1926.0	159.0	76.0	0.623172428504513		0.7756507886705108	
NP_277052	926.0	487.0	53.0	13.0	0.015859332216972426		0.08067573345155539	
NP_443094	749.0	413.0	65.0	5.0	8.781060552416502e-08		3.424613615442436e-06	
NP_444254	756.0	393.0	58.0	15.0	0.015196151157864053		0.08067573345155539	
NP_510880	1035.0	548.0	53.0	23.0	0.4612755296434614		0.6581614264424999	
NP_542417	1567.0	825.0	30.0	15.0	1.0		1.0	
NP_597734	1670.0	808.0	107.0	47.0	0.6576420729602113		0.8099381319615233	
NP_663719	728.0	386.0	36.0	12.0	0.21363206924526001		0.37803967017578527	
NP_689449	699.0	360.0	37.0	9.0	0.05404401794275361		0.19545658214657616	
NP_722560	451.0	231.0	22.0	7.0	0.3206119843654388		0.5069135428480587	
NP_733793	676.0	380.0	38.0	7.0	0.0039325116382511295		0.02706493303972836	
NP_733821	1890.0	953.0	71.0	31.0	0.5933546597566102		0.7628845625442131	
NP_835260	620.0	317.0	41.0	5.0	0.0006407739562138755		0.00576696560592488	
NP_937883	730.0	369.0	40.0	11.0	0.09306427782944358		0.2690892014653498	
NP_963293	645.0	341.0	49.0	3.0	2.623475822031227e-06		5.91749517112654e-05	
NP_996744	1060.0	567.0	44.0	15.0	0.16312619969423098		0.3348379888460531	
NP_001001924	582.0	308.0	31.0	26.0		0.11492772474336119		0.20235740491622492
