	NotOutlier_TP53.Mutation.Status_False	NotOutlier_TP53.Mutation.Status_True	Outliers_TP53.Mutation.Status_False	Outliers_TP53.Mutation.Status_True	fisherp_TP53.Mutation.Status_False	fisherp_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_True	fisherFDR_TP53.Mutation.Status_False
NP_060731	344.0	348.0	12.0	13.0		1.0	1.0	
NP_060823	264.0	298.0	1.0	28.0		8.075342645144705e-07	1.01488481018556e-05	
NP_060873	454.0	474.0	9.0	21.0		0.04297139313791163	0.09154775059815956	
NP_060952	424.0	446.0	11.0	13.0		0.8380557820449539	0.8850158043147143	
NP_061173	624.0	653.0	7.0	21.0		0.012907175757272665	0.033641043197146836	
NP_061936	541.0	563.0	18.0	37.0		0.01898138780989616	0.04604396052895603	
NP_062552	395.0	410.0	7.0	18.0		0.042695867324242985	0.09154775059815956	
NP_062565	685.0	717.0	22.0	40.0		0.050649859394280294	0.10007431896450543	
NP_062817	622.0	684.0	12.0	37.0		0.001268146820422151	0.006123945808550841	
NP_064504	672.0	723.0	28.0	37.0		0.4480895962469705	0.5381468190220969	
