	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_001059	741.0	958.0	32.0	35.0	0.531473258699911			0.5982164121180393
NP_001078927	1142.0	1474.0	84.0	46.0	3.1961902070955065e-06			2.0904811624786827e-05
NP_001091886	259.0	363.0	14.0	13.0	0.3229933018725466			0.38887750772714563
NP_001092885	341.0	470.0	20.0	9.0	0.006503908395696816			0.016060671752639075
NP_001099032	273.0	370.0	17.0	13.0	0.13469117216031642			0.18950734687672427
NP_001104026	1452.0	1848.0	60.0	75.0	0.9297098411638793			0.9574033257942928
NP_001106189	947.0	1199.0	38.0	34.0	0.14992633486590526			0.20614871044061972
NP_001106963	434.0	567.0	24.0	18.0	0.08272841959973945			0.13258461949097314
NP_001120982	649.0	947.0	24.0	22.0	0.12940256978171794			0.18529835436198663
NP_001122390	359.0	493.0	16.0	14.0	0.2607441154780153			0.32694339868227823
NP_001123617	499.0	644.0	22.0	14.0	0.041582030884093193			0.07623372328750419
NP_001137532	349.0	460.0	42.0	6.0	7.111514732981243e-10			1.3238358195242007e-08
NP_001139143	687.0	922.0	60.0	22.0	7.249561324560092e-08			8.771969202717711e-07
NP_001155856	644.0	853.0	60.0	23.0	1.8543383055605734e-07			1.9510863910680817e-06
NP_001157745	556.0	742.0	18.0	15.0	0.21331662022569897			0.27754097900332875
NP_001157852	240.0	326.0	26.0	14.0	0.007679258675472367			0.018219417641806988
NP_001157918	408.0	586.0	27.0	10.0	0.00013975840888810176			0.0005744162865612214
NP_001159477	278.0	365.0	22.0	7.0	0.0008397594322999077			0.002746240305629428
NP_001171914	641.0	895.0	36.0	29.0	0.039495781926161794			0.0735229171240858
NP_001181875	392.0	494.0	15.0	11.0	0.22940335358252564			0.2937333945342392
NP_001184033	342.0	487.0	22.0	10.0	0.002961295259224112			0.008237166123359023
NP_001186308	428.0	578.0	22.0	20.0	0.26518471287957096			0.3291010282915701
NP_001189472	277.0	367.0	20.0	11.0	0.025043870459618527			0.050012013199220266
NP_001191315	246.0	344.0	29.0	17.0	0.005427898251223345			0.013826856597853151
NP_001191332	509.0	716.0	33.0	31.0	0.12039487247291701			0.17657583757984874
NP_001193937	907.0	1235.0	60.0	46.0	0.004714324429690329			0.012136877787075104
NP_001193980	410.0	568.0	31.0	10.0	3.2021723177031236e-05			0.00015498514017683117
NP_001230685	504.0	645.0	29.0	21.0	0.05836299442748564			0.09876814441574493
NP_001234918	226.0	297.0	22.0	25.0	0.6478059984604008			0.6998618376223973
